Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Temperature_C,Humidity,Rainfall_mm,Sunlight_Hours,Wind_Speed_kmh,Field_Area_hectare,Previous_Irrigation_mm,Soil_Type_Loamy,Soil_Type_Sandy,Soil_Type_Silt,Crop_Type_Maize,Crop_Type_Potato,Crop_Type_Rice,Crop_Type_Sugarcane,Crop_Type_Wheat,Crop_Growth_Stage_Harvest,Crop_Growth_Stage_Sowing,Crop_Growth_Stage_Vegetative,Season_Rabi,Season_Zaid,Irrigation_Type_Drip,Irrigation_Type_Rainfed,Irrigation_Type_Sprinkler,Water_Source_Rainwater,Water_Source_Reservoir,Water_Source_River,Mulching_Used_Yes,Region_East,Region_North,Region_South,Region_West,Irrigation_Need
5.69,36.8,0.48,1.52,14.38,81.32,961.34,7.97,3.62,14.95,27.71,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,1
7.2,36.46,1.18,0.86,27.27,58.32,501.05,7.7,15.97,8.49,56.06,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,True,True,True,False,False,False,1
6.84,30.11,1.13,1.4,24.54,64.49,2384.8,6.79,13.94,12.87,97.83,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,True,False,False,False,True,1
6.85,8.14,1.3,1.98,22.89,28.94,1523.2,9.67,11.35,13.05,57.33,False,False,True,False,False,True,False,False,True,False,False,False,True,True,False,False,False,False,True,False,True,False,False,False,2
5.37,23.28,0.51,2.98,16.76,31.45,2336.25,10.3,18.06,11.56,81.5,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,True,2
7.08,46.81,0.44,3.16,35.98,77.87,1726.64,9.48,8.95,1.69,85.63,False,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,True,True,False,False,False,False,1
7.73,13.84,0.42,2.95,37.55,92.66,1593.82,7.14,12.28,8.24,80.14,False,True,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False,False,2
7.25,59.17,1.13,0.38,13.77,73.2,39.02,4.52,1.94,7.19,55.34,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,False,False,False,True,1
5.55,33.59,0.53,1.96,23.08,68.02,422.43,7.94,4.84,10.01,117.74,False,False,False,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,1
5.22,20.62,0.84,1.64,41.21,26.05,376.48,6.59,6.6,2.88,87.63,True,False,False,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,2
7.05,62.8,0.88,1.2,18.97,73.87,1880.1,9.99,0.64,10.56,40.12,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,False,False,False,True,False,False,False,True,1
7.59,32.47,0.64,2.76,30.0,66.93,1534.1,4.68,12.65,5.91,27.72,True,False,False,False,True,False,False,False,True,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1
6.34,40.13,1.54,0.73,29.48,67.83,1484.74,7.32,13.82,14.25,35.33,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,True,1
7.21,12.87,1.27,3.01,37.61,65.12,440.43,10.33,19.09,12.32,14.3,False,False,True,False,False,False,False,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False,False,2
5.26,34.2,1.43,1.83,25.79,91.48,2057.46,5.28,11.27,4.14,45.56,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,2
5.7,39.34,1.34,2.83,37.11,38.72,2010.81,6.71,12.75,4.91,35.24,False,True,False,False,False,False,False,True,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,1
5.47,10.65,1.09,0.68,18.78,94.18,1834.66,8.49,16.29,0.55,61.47,True,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1
7.46,18.89,0.41,3.19,35.98,75.41,169.11,8.14,14.71,3.57,6.3,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False,False,False,0
8.13,58.69,1.26,2.57,41.08,48.6,2.26,7.28,2.89,12.62,62.22,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,2
8.16,46.19,0.65,3.43,12.24,36.37,300.59,9.18,7.04,12.25,99.47,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,True,False,True,False,False,1
8.13,12.29,1.2,2.72,19.0,78.96,1913.13,9.85,3.14,9.0,48.63,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,True,False,1
6.31,31.29,1.23,3.06,22.21,53.64,705.76,9.61,13.46,9.64,65.62,False,False,True,False,False,True,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1
6.99,24.34,0.39,3.13,30.36,56.58,1791.55,7.68,7.3,3.29,2.3,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,2
7.43,62.09,1.16,1.08,21.98,35.83,851.45,6.28,6.78,1.8,12.36,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1
7.77,28.44,0.54,0.55,31.66,50.94,404.81,7.17,17.57,11.22,89.99,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,False,False,False,False,False,False,1
5.25,48.02,0.43,0.3,21.39,38.77,506.46,10.17,19.59,12.32,16.56,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,True,False,False,False,2
5.81,13.39,1.09,0.79,14.02,67.14,2371.39,5.44,12.27,14.2,59.73,False,False,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,True,False,True,False,False,False,2
7.03,61.04,0.42,1.08,27.62,25.53,2186.25,8.47,10.97,3.88,103.63,False,False,True,False,False,True,False,False,False,False,False,False,True,False,True,False,False,True,False,True,False,False,False,True,1
6.17,19.79,0.8,1.61,19.09,48.23,1606.53,7.9,16.71,14.96,53.28,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,True,1
5.44,46.65,0.85,1.0,27.13,70.3,1551.71,10.78,10.7,9.48,113.33,False,True,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,False,True,False,False,True,False,1
4.93,52.51,1.44,3.03,16.75,35.18,113.17,8.35,16.32,11.35,104.48,False,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,True,False,False,True,False,2
6.38,26.98,1.43,2.22,28.85,90.21,96.1,10.49,15.0,9.13,71.67,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,2
7.72,46.04,1.31,3.49,31.7,47.19,1184.59,10.89,17.36,8.72,39.69,False,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,True,False,False,False,True,False,2
7.16,43.72,0.33,1.56,34.0,82.04,575.99,4.83,3.42,1.76,90.37,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,1
5.25,25.03,0.8,2.09,18.1,84.84,415.4,6.98,11.3,8.34,73.39,True,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,1
7.71,48.71,1.35,0.72,37.98,54.31,1784.74,5.49,1.11,3.81,65.32,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False,1
8.13,59.03,0.51,1.56,24.52,53.0,879.37,4.73,10.07,14.76,39.4,False,True,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,True,False,False,False,1
6.25,28.08,1.58,3.4,22.17,73.69,1467.62,8.02,14.29,13.67,109.92,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,True,False,1
5.88,54.09,1.18,2.81,41.99,25.31,2352.43,6.23,7.89,11.51,83.02,True,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,2
6.13,13.42,0.68,1.9,27.28,83.26,1561.92,5.04,17.74,3.85,36.72,True,False,False,False,False,False,False,False,False,False,False,False,True,True,False,False,False,False,False,False,False,False,False,False,2
5.68,37.57,1.03,1.42,35.89,52.32,479.12,10.99,3.43,1.25,76.95,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,2
6.93,49.36,0.88,2.09,24.43,78.48,1805.34,8.81,15.08,7.38,14.61,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1
5.04,32.64,1.51,2.56,19.88,81.67,1892.84,10.62,6.42,12.78,62.54,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,1
7.21,64.05,0.58,2.12,15.47,84.62,148.88,8.59,10.37,5.62,95.34,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,True,False,True,False,False,1
4.99,56.53,0.55,3.44,23.43,81.22,319.25,5.21,19.28,14.13,46.66,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,True,False,True,False,True,False,False,True,False,1
7.85,8.82,1.15,2.59,32.04,54.58,424.98,8.81,3.08,8.9,91.68,False,True,False,True,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,True,2
6.61,50.93,0.57,2.29,31.68,67.5,1452.84,4.91,5.01,0.43,97.71,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False,False,True,1
5.2,26.17,0.8,1.81,39.7,29.85,1821.3,9.47,13.37,6.77,76.6,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,1
6.77,9.58,1.57,2.95,18.15,42.36,1032.53,8.95,5.01,3.81,29.21,False,True,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,True,False,1
4.91,63.13,1.42,1.41,19.0,71.07,99.92,6.48,18.51,0.75,51.48,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,False,True,False,1
6.92,64.29,1.01,3.28,15.29,86.04,1801.15,7.78,11.74,6.32,92.51,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,1
6.75,27.07,1.35,1.53,31.22,85.54,2333.74,10.96,12.87,13.35,63.44,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,1
6.03,27.61,0.7,3.44,12.01,78.18,1951.44,6.84,4.65,3.15,95.67,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1
5.34,52.81,1.58,1.32,22.9,88.15,521.09,7.18,6.26,14.33,23.22,False,True,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,True,True,False,False,False,True,1
5.22,52.62,1.22,1.94,24.15,53.01,1235.32,5.87,19.86,3.65,52.16,False,True,False,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,True,1
7.86,44.14,0.31,0.71,12.31,26.36,2403.93,7.72,6.08,0.61,28.36,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,True,False,False,False,True,1
4.98,47.06,0.78,0.22,34.81,52.77,1981.85,6.12,16.48,7.04,29.44,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,2
4.96,26.37,1.05,1.72,20.25,82.96,2067.54,9.53,3.25,1.04,4.79,False,False,True,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,True,1
5.98,9.27,0.75,2.91,16.32,35.5,1489.61,8.74,6.4,0.65,57.08,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,2
7.37,45.66,1.57,1.82,40.91,41.11,2330.01,5.01,5.55,14.57,119.64,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,False,True,False,1
6.52,22.78,0.94,2.63,36.19,32.74,759.52,4.87,10.75,7.42,43.65,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False,True,False,False,2
6.61,10.75,0.68,0.13,24.4,50.62,2270.49,5.21,16.68,11.71,73.93,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,False,True,1
6.72,24.0,0.99,1.98,36.34,37.4,1664.58,6.14,5.68,14.45,23.07,False,False,True,False,False,False,True,False,False,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,2
4.99,46.74,0.81,2.88,37.57,44.73,988.49,8.04,3.95,6.77,15.64,False,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False,1
6.04,52.16,0.95,0.2,15.97,77.62,2125.41,6.5,6.35,5.41,21.46,False,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,True,False,False,False,False,True,1
7.0,31.76,1.07,2.35,19.47,42.9,1778.83,7.63,5.59,14.96,81.43,False,False,True,False,False,True,False,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,1
7.82,46.05,0.45,1.16,40.41,58.2,1302.88,4.84,12.55,12.44,10.85,False,False,True,False,False,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False,False,False,False,1
6.37,20.71,1.06,1.9,30.74,57.47,1998.42,5.25,0.72,3.48,34.36,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False,True,False,False,True,False,False,False,True,1
5.86,17.56,0.44,1.86,13.54,55.56,1901.62,8.57,1.64,12.12,43.78,True,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,False,True,True,True,False,False,False,1
7.73,63.35,0.39,1.97,29.17,61.36,528.68,9.24,15.83,11.95,48.07,False,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,True,False,False,True,False,False,False,True,1
7.19,60.4,0.37,0.67,28.74,50.48,1133.74,5.18,4.71,10.35,58.26,False,False,True,False,False,False,False,False,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,True,1
6.09,26.71,1.47,0.92,21.8,69.56,2029.67,7.81,9.73,12.0,86.35,False,False,True,False,True,False,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,1
4.82,52.77,1.12,1.63,31.47,35.75,1898.25,8.17,1.12,2.41,15.0,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,2
8.14,30.84,1.27,1.46,35.33,75.03,397.56,10.74,13.83,12.31,90.13,False,True,False,False,False,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,1
4.99,37.27,1.52,2.3,19.12,39.56,2315.91,8.13,13.43,3.94,26.69,True,False,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,True,True,False,False,False,1
7.9,12.51,1.24,3.04,30.55,82.52,423.03,8.67,7.8,7.51,94.87,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,True,False,False,True,False,True,False,False,2
5.13,40.95,0.82,0.93,41.59,28.21,1434.37,6.22,4.34,4.99,39.78,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,True,False,False,False,False,1
8.19,9.8,1.51,0.33,20.1,29.32,1239.77,7.97,18.49,6.75,95.99,False,False,True,False,False,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,2
6.42,31.39,0.63,2.05,38.23,83.74,1855.99,6.03,17.79,2.8,115.35,False,False,True,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,True,False,2
7.82,37.7,0.47,0.35,15.74,55.84,1746.61,5.75,6.75,12.27,24.98,True,False,False,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,1
6.4,13.1,0.51,2.0,28.79,46.07,353.27,10.31,6.45,1.59,74.18,True,False,False,False,False,False,True,False,False,True,False,False,True,False,False,True,True,False,False,False,False,False,True,False,1
7.26,11.83,0.38,1.85,35.25,63.0,621.42,7.26,1.29,14.18,9.82,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,True,True,False,True,False,False,1
6.46,60.36,1.36,3.05,22.64,82.7,2016.15,7.41,18.28,13.76,88.29,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,1
7.95,26.03,1.28,0.31,13.53,44.48,2345.26,7.11,14.04,7.73,57.18,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,1
5.44,19.14,1.22,2.08,13.71,76.51,2144.08,7.12,12.67,6.48,91.15,False,True,False,True,False,False,False,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False,False,2
5.54,43.86,1.03,1.84,31.55,93.88,2192.54,8.07,17.09,14.14,26.98,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,True,False,False,False,True,False,False,2
7.62,50.69,1.01,3.04,30.5,33.13,1459.39,8.74,18.62,10.68,53.42,False,False,True,False,True,False,False,False,True,False,False,False,True,True,False,False,False,False,False,False,False,False,False,True,1
5.65,45.71,0.42,2.7,39.71,94.7,91.08,6.59,15.23,7.37,20.37,True,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,True,False,0
5.08,14.1,1.22,2.51,31.89,64.71,1668.67,10.43,9.33,6.75,57.2,False,False,False,False,False,False,True,False,False,False,True,False,True,False,False,True,True,False,False,True,False,True,False,False,2
6.65,59.93,1.53,1.77,29.7,51.73,1046.91,6.82,15.88,7.89,59.11,True,False,False,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,True,False,False,True,False,1
7.08,30.32,0.42,2.93,22.47,73.24,1343.85,4.62,9.9,1.16,7.14,False,False,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False,True,True,False,False,False,1
6.16,53.23,0.35,2.43,28.32,52.75,1782.04,5.28,1.35,9.58,94.3,False,False,False,False,False,False,True,False,False,True,False,False,True,False,False,False,False,True,False,True,False,False,False,True,1
7.2,60.0,0.56,1.71,36.41,84.43,2293.66,4.39,0.92,6.28,67.61,False,True,False,False,False,False,True,False,False,True,False,False,False,False,True,False,False,False,False,True,False,True,False,False,1
6.24,45.24,1.3,2.67,21.47,48.15,617.24,7.69,8.16,3.2,81.42,False,False,True,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,1
7.42,25.82,0.67,2.17,21.62,80.68,1902.55,9.82,3.53,14.78,60.61,False,False,True,False,False,False,False,True,False,False,True,False,True,True,False,False,False,False,True,True,False,False,False,True,1
7.89,15.21,0.98,3.08,35.65,44.86,44.79,7.47,18.9,13.82,80.16,False,True,False,True,False,False,False,False,False,False,False,False,True,False,False,True,True,False,False,True,True,False,False,False,0
4.94,49.08,1.0,1.74,18.91,42.06,1268.01,5.8,14.78,14.56,66.08,False,True,False,False,False,False,True,False,False,False,True,False,True,True,False,False,False,False,False,False,True,False,False,False,2
6.79,56.86,0.6,1.99,12.14,94.82,1658.06,6.34,11.43,5.55,61.71,False,True,False,False,False,False,False,True,False,True,False,True,False,False,False,True,True,False,False,True,False,False,True,False,1
5.75,49.8,0.45,2.34,25.45,43.37,1966.78,5.98,10.84,3.82,21.43,False,True,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,True,False,False,False,1
6.45,64.33,0.57,0.28,19.97,47.69,1368.51,5.39,11.93,8.8,23.46,False,False,False,False,False,False,False,False,False,False,True,False,True,True,False,False,False,True,False,True,True,False,False,False,1
6.81,29.23,1.56,3.26,25.28,91.27,1999.1,4.32,18.53,12.24,81.81,False,False,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False,False,False,False,False,False,True,False,1
7.02,49.26,0.43,3.04,35.85,78.8,1164.22,8.41,18.29,0.77,6.45,False,True,False,True,False,False,False,False,False,True,False,False,False,False,True,False,False,False,True,False,False,False,False,False,1
7.21,56.97,0.65,0.34,17.81,25.04,312.74,10.63,2.01,2.31,13.65,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,True,False,False,False,False,1
